name,pca_x,pca_y
750.jpg,12.231154,-19.907093
1011.jpg,2.5691595,20.890013
331.jpg,-6.69081,-14.745265
496.jpg,-13.183476,-2.0967104
68.jpg,19.620394,0.4000939
835.jpg,5.466198,34.611023
447.jpg,-10.87981,-10.704947
781.jpg,5.853303,-12.273315
608.jpg,-4.207681,-19.506016
269.jpg,2.5484984,-7.095905
898.jpg,-6.2984366,36.729794
14.jpg,20.208128,-1.0189121
849.jpg,-4.744648,36.56394
563.jpg,17.176685,-23.208181
911.jpg,6.938065,21.08767
102.jpg,5.258368,-8.626622
674.jpg,19.342564,4.0578313
215.jpg,-7.5634747,-9.014553
13.jpg,-11.587738,-8.495432
916.jpg,-1.6927384,29.39866
564.jpg,10.673563,-2.9654431
105.jpg,32.139465,6.149695
673.jpg,-6.7674117,-23.14343
212.jpg,-0.57878625,-5.5448084
757.jpg,17.1358,-24.589355
1016.jpg,-1.9208798,29.046059
491.jpg,16.986837,-23.85724
336.jpg,-10.753829,-7.5201826
440.jpg,-6.7012177,-9.629833
832.jpg,0.2035059,31.085405
786.jpg,-6.0821414,-5.5534124
518.jpg,24.854761,-13.188665
179.jpg,-13.445637,-10.901359
725.jpg,24.834757,2.031796
344.jpg,-1.7129304,-30.404602
891.jpg,-0.42669562,30.19688
395.jpg,-11.203603,-12.325226
432.jpg,-15.1890955,0.97377765
840.jpg,-4.7077026,37.640785
918.jpg,-5.264595,37.286747
759.jpg,-10.63576,-15.411115
338.jpg,-28.820377,-17.123638
1018.jpg,9.2516985,19.807507
61.jpg,-3.370523,-6.614438
788.jpg,-11.962474,-12.244322
964.jpg,-1.01413,38.49511
516.jpg,39.886845,9.838531
177.jpg,-10.060914,6.707331
601.jpg,23.720736,7.713813
260.jpg,35.502926,8.304208
498.jpg,-13.445727,-9.796593
449.jpg,-5.1331773,-21.783056
66.jpg,2.1205742,-5.578807
511.jpg,-11.1353445,-22.051876
963.jpg,1.6283,24.388386
170.jpg,-15.6866255,-14.283906
606.jpg,-12.654149,-16.67171
267.jpg,34.62027,6.4331527
722.jpg,-24.73882,-22.69802
896.jpg,-8.057805,39.980755
343.jpg,-28.809689,-17.121971
847.jpg,4.847553,36.88175
435.jpg,-13.686542,-5.2905693
392.jpg,20.317886,3.186764
53.jpg,35.119633,7.0849123
82.jpg,9.404031,-7.0333567
987.jpg,2.922789,28.393084
252.jpg,-13.763084,-10.339853
194.jpg,-20.029314,5.57517
633.jpg,10.242705,-8.745544
145.jpg,-11.564167,4.4909797
524.jpg,-15.301036,-7.204445
956.jpg,9.47882,37.317196
283.jpg,-4.837632,10.465786
872.jpg,-6.906515,40.83273
400.jpg,14.468246,-22.53298
376.jpg,-16.184658,-1.5933534
717.jpg,0.8056563,2.9380543
589.jpg,-7.128794,4.1579347
139.jpg,10.642064,-13.300207
558.jpg,34.563313,7.83906
28.jpg,-10.333656,-12.915667
407.jpg,-7.8769383,-3.0744078
875.jpg,-4.4859953,34.68328
371.jpg,-16.777943,0.09681568
710.jpg,7.177296,-1.5456125
229.jpg,-25.798485,-9.82771
648.jpg,-6.1758337,0.24782954
699.jpg,-8.570997,13.646891
54.jpg,-11.4966545,-15.76705
809.jpg,7.303015,21.886011
85.jpg,32.346405,7.0398526
255.jpg,19.451838,-10.229936
980.jpg,-5.9217005,31.094097
634.jpg,0.64642286,-10.1221285
193.jpg,-8.225334,12.412758
142.jpg,30.82813,6.8965936
284.jpg,20.646784,5.3617516
951.jpg,-2.718476,27.432915
523.jpg,-21.524721,-6.303258
409.jpg,-8.877673,-7.9331164
26.jpg,-22.729105,-10.214933
580.jpg,2.8124325,-2.6205933
227.jpg,25.9127,-0.03912786
646.jpg,0.3543216,3.0147974
130.jpg,-9.95463,-14.9139
697.jpg,35.97505,7.558011
923.jpg,7.11605,20.950611
551.jpg,-6.992843,-4.915353
475.jpg,-14.790374,-15.009045
807.jpg,-2.8092725,36.305256
1023.jpg,8.079169,19.943361
303.jpg,-22.728014,7.9546504
762.jpg,1.2725033,-16.146008
800.jpg,7.5896077,33.972847
472.jpg,0.56545836,3.2770393
304.jpg,2.3134968,-25.012169
765.jpg,13.471269,-19.721262
989.jpg,9.097344,32.5422
958.jpg,8.749782,33.339252
21.jpg,-12.399052,-19.992727
378.jpg,-0.5974897,-1.8343328
719.jpg,-10.547427,0.61483747
220.jpg,-13.711043,-11.421955
587.jpg,4.264365,-20.792988
641.jpg,5.3834844,-6.178797
690.jpg,-18.935438,-13.699225
137.jpg,21.377914,4.900142
556.jpg,-18.584072,-8.646737
924.jpg,3.9951544,12.219244
949.jpg,-6.8499765,39.77441
998.jpg,0.25627545,34.828186
315.jpg,-9.271578,-9.807314
774.jpg,-0.33177146,-14.100345
463.jpg,-6.8848796,-12.877111
811.jpg,10.532554,30.47324
126.jpg,13.260913,-4.8272953
681.jpg,-21.414131,-7.2793
935.jpg,-15.953872,-10.453548
547.jpg,40.2554,8.145766
596.jpg,0.92589897,-14.485235
231.jpg,37.097374,8.667912
650.jpg,-7.363657,-10.251201
369.jpg,-6.302178,-9.145462
708.jpg,5.8881946,-12.975071
30.jpg,36.867153,7.9253526
686.jpg,-8.421611,11.041003
121.jpg,-18.481007,5.645357
540.jpg,10.123115,-5.16601
932.jpg,8.642836,19.75044
236.jpg,4.9945364,-6.026695
591.jpg,-11.78351,-13.765781
657.jpg,4.974711,-6.2597575
418.jpg,-8.516246,-10.404713
37.jpg,-5.5736012,6.555324
312.jpg,-11.684127,-24.921362
773.jpg,6.5751414,-11.6663685
816.jpg,-5.8038487,35.553333
464.jpg,38.880627,8.124096
688.jpg,-14.733663,-7.706127
5.jpg,21.512672,-4.8710737
238.jpg,30.204489,6.1274705
659.jpg,35.585587,9.249132
360.jpg,-2.203341,-10.680755
701.jpg,-15.551047,-11.833556
39.jpg,1.0359473,-5.0280786
864.jpg,6.985731,23.25984
416.jpg,-12.323436,-11.484872
153.jpg,5.803829,-22.378563
532.jpg,1.9733734,-12.889584
940.jpg,4.712924,21.418648
295.jpg,-19.445719,-18.966337
991.jpg,7.559673,21.026152
244.jpg,18.369556,-7.8090262
182.jpg,18.26681,3.5590367
625.jpg,-7.2594957,7.8461657
94.jpg,-12.718831,-2.1552382
45.jpg,40.79888,9.640319
818.jpg,5.300544,31.372265
154.jpg,39.817448,9.350116
292.jpg,-4.620068,-3.7532153
947.jpg,0.17669398,29.892399
535.jpg,-4.756423,-16.002289
243.jpg,-14.690189,-18.196436
996.jpg,0.058914658,38.427963
622.jpg,19.285816,-11.216871
185.jpg,1.7376018,-7.3719068
93.jpg,-10.775272,13.963843
42.jpg,7.844277,-6.9196606
128.jpg,-11.466088,-11.165521
549.jpg,-18.021587,-16.404799
2.jpg,-15.090504,-22.66517
598.jpg,-19.902245,-26.285795
367.jpg,-0.94687593,-13.917045
706.jpg,-9.762712,-12.18502
411.jpg,-16.229979,-5.167198
863.jpg,7.854777,34.780704
617.jpg,-8.834339,11.681521
276.jpg,-10.097225,6.489803
972.jpg,4.2604775,30.860773
500.jpg,-2.283883,-22.476442
161.jpg,-6.6889153,-7.207481
458.jpg,-1.5376147,-31.654629
77.jpg,26.74907,3.13847
489.jpg,-14.656806,-16.78212
383.jpg,-18.316397,6.119167
424.jpg,7.7742386,-18.349117
856.jpg,-7.8357825,40.619057
733.jpg,1.5124304,-17.579733
352.jpg,27.837955,3.954006
887.jpg,-5.227712,37.646885
909.jpg,9.758794,19.5296
851.jpg,-3.8250277,26.892832
423.jpg,-18.302212,-10.854443
384.jpg,-23.902264,-22.369291
734.jpg,0.3525244,1.4035201
880.jpg,-0.047970746,36.841957
355.jpg,-2.2619705,-15.106725
610.jpg,-14.953297,-8.067061
271.jpg,1.8631259,-11.703939
507.jpg,-7.6510186,-17.766148
975.jpg,1.2173625,17.317884
166.jpg,41.349632,8.479523
70.jpg,-24.70821,-21.782753
799.jpg,4.384971,32.817844
748.jpg,1.0486898,-15.667873
1009.jpg,-0.7459253,35.673683
329.jpg,14.188891,-4.65515
662.jpg,-2.462728,-8.781108
203.jpg,13.57723,-20.57134
575.jpg,17.442057,3.1807206
907.jpg,-3.2010748,32.058434
